episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_team1_/learner_stats/allreduce_latency,info/learner/policy_team1_/learner_stats/cur_kl_coeff,info/learner/policy_team1_/learner_stats/cur_lr,info/learner/policy_team1_/learner_stats/total_loss,info/learner/policy_team1_/learner_stats/policy_loss,info/learner/policy_team1_/learner_stats/vf_loss,info/learner/policy_team1_/learner_stats/vf_explained_var,info/learner/policy_team1_/learner_stats/kl,info/learner/policy_team1_/learner_stats/entropy,info/learner/policy_team1_/learner_stats/entropy_coeff,info/learner/policy_team2_/learner_stats/allreduce_latency,info/learner/policy_team2_/learner_stats/cur_kl_coeff,info/learner/policy_team2_/learner_stats/cur_lr,info/learner/policy_team2_/learner_stats/total_loss,info/learner/policy_team2_/learner_stats/policy_loss,info/learner/policy_team2_/learner_stats/vf_loss,info/learner/policy_team2_/learner_stats/vf_explained_var,info/learner/policy_team2_/learner_stats/kl,info/learner/policy_team2_/learner_stats/entropy,info/learner/policy_team2_/learner_stats/entropy_coeff
nan,nan,nan,nan,0,5,200,0,175,False,0,1,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-57-56,1688371076,3.675534725189209,3.675534725189209,13722,Hieu-Desktop,172.18.170.77,3.675534725189209,0,1,[],[],3376.4,59.235,10.473,19096.267,349.853,571.669,18.892,200,175,200,175,11.833333333333334,11.049999999999999,0.0,0.2,0.0005,-0.03491758517920971,-0.006664382894005882,3.8836140268472265e-05,-0.7878185987472535,0.00019081533473567225,2.8330203533172607,0.01,0.0,0.2,0.0005,-0.03619842380285263,-0.007916949470801526,1.8200521552103055e-05,-0.8300185203552246,0.00015468380044207918,2.8330607414245605,0.01
nan,nan,nan,nan,0,5,400,0,375,False,0,2,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-57-59,1688371079,3.517103672027588,7.192638397216797,13722,Hieu-Desktop,172.18.170.77,7.192638397216797,0,2,[],[],3499.985,57.143,5.369,37248.764,344.774,580.091,18.297,400,375,400,375,11.779999999999998,11.64,0.0,0.1,0.0005,-0.03421837612986565,-0.00596794062294066,1.0221774531515847e-05,-0.274733293056488,0.0005254583520581946,2.8313199520111083,0.01,0.0,0.1,0.0005,-0.02313947007060051,0.0051212079590186475,6.498991211856264e-06,0.7452756643295289,0.00046680220984853806,2.8313860416412355,0.01
nan,nan,nan,nan,0,5,600,0,575,False,0,3,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-03,1688371083,3.67340350151062,10.866041898727417,13722,Hieu-Desktop,172.18.170.77,10.866041898727417,0,3,[],[],3556.124,56.241,3.667,54539.951,350.817,570.098,18.452,600,575,600,575,12.9,11.920000000000002,0.0,0.05,0.0005,-0.031802383437752726,-0.0035330789512954654,1.563917260227754e-06,0.11043409109115601,0.0003274740036431467,2.8287241458892822,0.01,0.0,0.05,0.0005,-0.018992022424936295,0.009288355614989996,7.882046588747471e-08,0.9835119128227234,0.0003852043708320707,2.829971504211426,0.01
-3.0,-3.0,-3.0,151.0,5,5,800,0,775,False,5,4,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-06,1688371086,3.5019493103027344,14.367991209030151,13722,Hieu-Desktop,172.18.170.77,14.367991209030151,0,4,"[-3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151]",3550.346,56.333,2.815,71037.222,352.905,566.725,17.869,800,775,800,775,11.4,12.08,0.0,0.025,0.0005,125.5898452758789,-0.008023324841633438,125.62610473632813,0.00010019540786743164,0.0004950836388161406,2.8248427867889405,0.01,0.0,0.025,0.0005,150.213037109375,-0.008106024051085115,150.2494323730469,8.518695831298828e-05,0.00040090923284878953,2.8294992446899414,0.01
-3.0,-3.0,-3.0,151.0,0,5,1000,0,975,False,5,5,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-10,1688371090,3.4240798950195312,17.792071104049683,13722,Hieu-Desktop,172.18.170.77,17.792071104049683,0,5,"[-3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151]",3539.586,56.504,2.306,86736.233,349.043,572.996,17.638,1000,975,1000,975,9.559999999999999,12.219999999999999,0.0,0.0125,0.0005,-0.03884047120809555,-0.011719781579449773,0.0010753263605693063,0.8320817232131958,0.0007787742972141132,2.820574188232422,0.01,0.0,0.0125,0.0005,-0.0364808838814497,-0.009002861892804503,0.0007762971488318726,0.6146399140357971,0.0006531695980811492,2.8262480735778808,0.01
-3.0,-3.0,-3.0,151.0,0,5,1200,0,1175,False,5,6,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-14,1688371094,3.6045877933502197,21.396658897399902,13722,Hieu-Desktop,172.18.170.77,21.396658897399902,0,6,"[-3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151]",3550.279,56.334,1.967,101680.097,351.948,568.266,17.644,1200,1175,1200,1175,11.940000000000001,12.5,0.0,0.00625,0.0005,-0.05063193216919899,-0.02311809416860342,0.0005872019439266297,0.9862902283668518,0.001208255923120305,2.810859537124634,0.01,0.0,0.00625,0.0005,-0.0452199250459671,-0.017473731748759748,0.00043650778134178835,0.9697391152381897,0.0011923535552341492,2.8190155982971192,0.01
-3.0,-3.0,-3.0,151.0,0,5,1400,0,1375,False,5,7,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-17,1688371097,3.541424512863159,24.93808341026306,13722,Hieu-Desktop,172.18.170.77,24.93808341026306,0,7,"[-3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151]",3558.235,56.208,1.726,115880.757,350.073,571.309,17.37,1400,1375,1400,1375,12.24,12.68,0.0,0.003125,0.0005,-0.04980320036411286,-0.022088354080915452,0.0002979943121317774,0.9906073331832885,0.0019359245256055147,2.8018887996673585,0.01,0.0,0.003125,0.0005,-0.03019859753549099,-0.0023429420543834567,0.00022964785348449367,0.9903336644172669,0.0011209542455617339,2.8088804721832275,0.01
0.0,-3.0,-2.7,151.0,5,5,1600,0,1575,False,10,8,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-21,1688371101,3.6546542644500732,28.592737674713135,13722,Hieu-Desktop,172.18.170.77,28.592737674713135,0,8,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3574.047,55.959,1.545,129426.364,349.832,571.703,17.333,1600,1575,1600,1575,10.239999999999998,12.7,0.0,0.0015625,0.0005,81.7459213256836,0.006143023888580501,81.7676513671875,0.0003000497817993164,0.0015599624486640096,2.787499284744263,0.01,0.0,0.0015625,0.0005,99.7871322631836,-0.0007317013572901487,99.8158462524414,0.0003855586051940918,0.000787726673297584,2.7981338500976562,0.01
0.0,-3.0,-2.7,151.0,0,5,1800,0,1775,False,10,9,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-24,1688371104,3.4408717155456543,32.03360939025879,13722,Hieu-Desktop,172.18.170.77,32.03360939025879,0,9,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3563.73,56.121,1.403,142577.187,348.85,573.312,17.499,1800,1775,1800,1775,10.3,12.9,0.0,0.00078125,0.0005,-0.035222218930721284,-0.014765435736626387,0.007308845492661931,0.9856095314025879,0.0007118130306480452,2.776619005203247,0.01,0.0,0.00078125,0.0005,-0.012030610628426076,0.008916299138218165,0.007007257229997776,0.9848280191421509,0.0004173223132966086,2.7954494953155518,0.01
0.0,-3.0,-2.7,151.0,0,5,2000,0,1975,False,10,10,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-28,1688371108,3.6386048793792725,35.67221426963806,13722,Hieu-Desktop,172.18.170.77,35.67221426963806,0,10,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3573.457,55.968,1.289,155111.925,349.75,571.836,17.439,2000,1975,2000,1975,10.499999999999998,13.0,0.0,0.000390625,0.0005,-0.029092400148510934,-0.0049833611497888345,0.003633819619426504,0.964152991771698,0.0008545898395823315,2.7743188381195067,0.01,0.0,0.000390625,0.0005,-0.025637589767575263,-0.001022722222842276,0.0033982052060309797,0.9819890260696411,0.00043258072837488727,2.801324653625488,0.01
0.0,-3.0,-2.7,151.0,0,5,2200,0,2175,False,10,11,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-32,1688371112,3.7251553535461426,39.397369623184204,13722,Hieu-Desktop,172.18.170.77,39.397369623184204,0,11,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3611.734,55.375,0.273,733141.758,351.711,568.649,17.598,2200,2175,2200,2175,10.850000000000001,13.166666666666666,0.0,0.0001953125,0.0005,-0.028089040517807008,-0.0021231628488749266,0.0017698644660413265,0.9505131125450135,0.0006190106651047245,2.7735865116119385,0.01,0.0,0.0001953125,0.0005,-0.032115163281559944,-0.0059103734325617555,0.0018641397706232964,0.9711480259895324,0.0004578176623908803,2.806901741027832,0.01
0.0,-3.0,-2.8,151.0,5,5,2400,0,2375,False,15,12,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-36,1688371116,3.8699448108673096,43.267314434051514,13722,Hieu-Desktop,172.18.170.77,43.267314434051514,0,12,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3642.67,54.905,0.273,732373.669,352.206,567.85,17.463,2400,2375,2400,2375,12.66,13.539999999999997,0.0,9.765625e-05,0.0005,21.357407760620116,-0.006246901664417237,21.391316604614257,-4.9567222595214845e-05,0.0008187133178580552,2.766219902038574,0.01,0.0,9.765625e-05,0.0005,26.417753601074217,-0.0036550876684486866,26.44944953918457,-0.00022832155227661132,0.0005568116583162918,2.804090452194214,0.01
0.0,-3.0,-2.8,151.0,0,5,2600,0,2575,False,15,13,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-39,1688371119,3.4754793643951416,46.742793798446655,13722,Hieu-Desktop,172.18.170.77,46.742793798446655,0,13,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3626.514,55.149,0.273,733847.257,350.67,570.337,17.268,2600,2575,2600,2575,9.78,13.62,0.0,4.8828125e-05,0.0005,-0.04037105590105057,-0.01667296076193452,0.0038523794617503883,0.876824927330017,0.001864066580310464,2.7550564765930177,0.01,0.0,4.8828125e-05,0.0005,-0.034296770393848416,-0.012002399284392595,0.005625357967801392,0.9341179370880127,0.0008700493024662137,2.791977548599243,0.01
0.0,-3.0,-2.8,151.0,0,5,2800,0,2775,False,15,14,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-43,1688371123,3.5477182865142822,50.29051208496094,13722,Hieu-Desktop,172.18.170.77,50.29051208496094,0,14,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3633.308,55.046,0.274,731224.547,349.296,572.581,17.29,2800,2775,2800,2775,10.080000000000002,13.719999999999999,0.0,2.44140625e-05,0.0005,-0.03565670996904373,-0.010514713451266288,0.002107848925516009,0.8435273408889771,0.0018373786355368794,2.724988889694214,0.01,0.0,2.44140625e-05,0.0005,-0.04229503870010376,-0.017652794905006885,0.003091743856202811,0.9027879953384399,0.0014123086002655327,2.773401641845703,0.01
0.0,-3.0,-2.8,151.0,0,5,3000,0,2975,False,15,15,4eea3_00000,b6e9d7bd3e8c464e84a5c7d2cf6e579d,2023-07-03_14-58-46,1688371126,3.563297748565674,53.85380983352661,13722,Hieu-Desktop,172.18.170.77,53.85380983352661,0,15,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, 0.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0]","[151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151, 151]",3642.527,54.907,0.273,732117.996,351.091,569.653,17.191,3000,2975,3000,2975,9.9,13.9,0.0,1.220703125e-05,0.0005,-0.02988167591392994,-0.004485484538599848,0.001558715826831758,0.8027227759361267,0.0017805094597861172,2.6954922676086426,0.01,0.0,1.220703125e-05,0.0005,-0.033160698041319846,-0.007435412239283323,0.0017838873085565866,0.8856837391853333,0.0009901321376673878,2.750918245315552,0.01
